ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Volume_Avg,Volume_Avg_lower,Volume_Avg_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-09-10,200.6114804824784,192.0543314995647,208.84418949017243,195.206585435762,205.8477444577823,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.21777507172411126,-0.21777507172411126,-0.21777507172411126,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.37897277283331415,0.37897277283331415,0.37897277283331415,-0.5214408618396298,-0.5214408618396298,-0.5214408618396298,0.0,0.0,0.0,200.3937054107543
2025-09-11,200.8297331736387,192.16454751672413,208.0290652054072,195.3980941898064,206.09744616850455,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.29601112494557386,-0.29601112494557386,-0.29601112494557386,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.5010810541290006,0.5010810541290006,0.5010810541290006,-0.721785196356779,-0.721785196356779,-0.721785196356779,0.0,0.0,0.0,200.5337220486931
2025-09-12,201.0479858647991,191.836777665899,208.95823202035305,195.5896379966871,206.34038037509453,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.59110813784005,-0.59110813784005,-0.59110813784005,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3821657865114138,0.3821657865114138,0.3821657865114138,-0.897966941633668,-0.897966941633668,-0.897966941633668,0.0,0.0,0.0,200.45687772695905
2025-09-13,201.2662385559594,191.21921842806267,207.9737513223238,195.78118180356768,206.57951144093173,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-2.10651304996343,-2.10651304996343,-2.10651304996343,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9830126673211064,-0.9830126673211064,-0.9830126673211064,-1.0481933999245279,-1.0481933999245279,-1.0481933999245279,0.0,0.0,0.0,199.15972550599597
2025-09-14,201.48449124711968,190.42026619526786,207.8483874778072,195.9727256104483,206.82139473024998,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-2.229607104835307,-2.229607104835307,-2.229607104835307,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9830139350944421,-0.9830139350944421,-0.9830139350944421,-1.1712861870230695,-1.1712861870230695,-1.1712861870230695,0.0,0.0,0.0,199.25488414228437
2025-09-15,201.7027439382801,192.2599269386804,209.40863908431328,196.16426941732902,207.0712240014232,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9584688724696472,-0.9584688724696472,-0.9584688724696472,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.38352681463975374,0.38352681463975374,0.38352681463975374,-1.2666887043916053,-1.2666887043916053,-1.2666887043916053,0.0,0.0,0.0,200.74427506581046
2025-09-16,201.92099662944037,191.99337936360013,209.90545672015864,196.35581322420964,207.3251190548564,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.0894848714352405,-1.0894848714352405,-1.0894848714352405,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3202801743028898,0.3202801743028898,0.3202801743028898,-1.3344580630203347,-1.3344580630203347,-1.3344580630203347,0.0,0.0,0.0,200.83151175800512
2025-09-17,202.13924932060064,192.59441880265285,209.84034396649542,196.54735703109026,207.58093851478057,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.0715762650847502,-1.0715762650847502,-1.0715762650847502,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.37897277283353514,0.37897277283353514,0.37897277283353514,-1.3752420552004898,-1.3752420552004898,-1.3752420552004898,0.0,0.0,0.0,201.06767305551588
2025-09-18,202.35750201176106,192.57824419171394,209.93187356166825,196.69437364479558,207.8607072762412,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.96446807679213,-0.96446807679213,-0.96446807679213,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.501081054129415,0.501081054129415,0.501081054129415,-1.3902421482037493,-1.3902421482037493,-1.3902421482037493,0.0,0.0,0.0,201.39303393496894
2025-09-19,202.57575470292136,192.14205716462132,209.93389228628277,196.86566033255852,208.17669929087148,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.074305014065585,-1.074305014065585,-1.074305014065585,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.38216578651138244,0.38216578651138244,0.38216578651138244,-1.3811638178591719,-1.3811638178591719,-1.3811638178591719,0.0,0.0,0.0,201.50144968885579
