ds,y,Volume
2020-10-01,114.00700378417969,116120400
2020-10-02,110.32684326171875,144712000
2020-10-05,113.72389221191406,106243800
2020-10-06,110.46351623535156,161498200
2020-10-07,112.33773040771484,96849000
2020-10-08,112.23036193847656,83477200
2020-10-09,114.18270111083984,100506900
2020-10-12,121.43565368652344,240226800
2020-10-13,118.21429443359375,262330500
2020-10-14,118.30213928222656,150712000
2020-10-15,117.83358001708984,112559200
2020-10-16,116.18385314941406,115393800
2020-10-19,113.21630859375,120639300
2020-10-20,114.70984649658203,124423700
2020-10-21,114.08509063720703,89946000
2020-10-22,112.99178314208984,101988000
2020-10-23,112.29869842529297,82572600
2020-10-26,112.30846405029297,111850700
2020-10-27,113.82151794433594,92276800
2020-10-28,108.5501937866211,143937800
2020-10-29,112.572021484375,146129200
2020-10-30,106.2659683227539,190272600
2020-11-02,106.1780776977539,122866900
2020-11-03,107.80831146240234,107624400
2020-11-04,112.2108383178711,138235500
2020-11-05,116.19361114501953,126387100
2020-11-06,116.06160736083984,114457900
2020-11-09,113.74409484863281,154515300
2020-11-10,113.4018325805664,138023400
2020-11-11,116.84388732910156,112295000
2020-11-12,116.57009887695312,103162300
2020-11-13,116.61898803710938,81581900
2020-11-16,117.63595581054688,91183000
2020-11-17,116.74610137939453,74271000
2020-11-18,115.41622161865234,76322100
2020-11-19,116.0127182006836,74113000
2020-11-20,114.74149322509766,73604300
2020-11-23,111.32879638671875,127959300
2020-11-24,112.61956024169922,113874200
2020-11-25,113.46050262451172,76499200
2020-11-27,114.00812530517578,46691300
2020-11-30,116.41365051269531,169410200
2020-12-01,120.00237274169922,127728200
2020-12-02,120.35438537597656,89004200
2020-12-03,120.21749114990234,78967600
2020-12-04,119.54277801513672,78260400
2020-12-07,121.00955200195312,86712000
2020-12-08,121.62560272216797,82225500
2020-12-09,119.08319091796875,115089200
2020-12-10,120.51083374023438,81312200
2020-12-11,119.6992416381836,86939800
2020-12-14,119.08319091796875,79184500
2020-12-15,125.04808807373047,157243700
2020-12-16,124.97965240478516,98208600
2020-12-17,125.84992980957031,94359800
2020-12-18,123.85511779785156,192541500
2020-12-21,125.39032745361328,121251600
2020-12-22,128.95950317382812,168904800
2020-12-23,128.05990600585938,88223700
2020-12-24,129.04751586914062,54930100
2020-12-28,133.66299438476562,124486200
2020-12-29,131.88327026367188,121047300
2020-12-30,130.7587890625,96452100
2020-12-31,129.7515869140625,99116600
2021-01-04,126.54424285888672,143301900
2021-01-05,128.10877990722656,97664900
2021-01-06,123.79644775390625,155088000
2021-01-07,128.02078247070312,109578200
2021-01-08,129.1257781982422,105158200
2021-01-11,126.12373352050781,100384500
2021-01-12,125.94771575927734,91951100
2021-01-13,127.99141693115234,88636800
2021-01-14,126.05530548095703,90221800
2021-01-15,124.32447814941406,111598500
2021-01-19,124.99920654296875,90757300
2021-01-20,129.1061553955078,104319500
2021-01-21,133.83901977539062,120150900
2021-01-22,135.9903106689453,114459400
2021-01-25,139.7550506591797,157611700
2021-01-26,139.98971557617188,98390600
2021-01-27,138.91409301757812,140843800
2021-01-28,134.0541534423828,142621100
2021-01-29,129.03773498535156,177523800
2021-02-01,131.1694793701172,106239800
2021-02-02,132.0006561279297,83305400
2021-02-03,130.97390747070312,89880900
2021-02-04,134.3474884033203,84183100
2021-02-05,133.9312744140625,75693800
2021-02-08,134.0781707763672,71297200
2021-02-09,133.19680786132812,76774200
2021-02-10,132.58961486816406,73046600
2021-02-11,132.3350067138672,64280000
2021-02-12,132.57005310058594,60145100
2021-02-16,130.4351043701172,80576300
2021-02-17,128.1337432861328,97918500
2021-02-18,127.02711486816406,96856700
2021-02-19,127.18377685546875,87668800
2021-02-22,123.39383697509766,103916400
2021-02-23,123.25672149658203,158273000
2021-02-24,122.75728607177734,111039900
2021-02-25,118.48748016357422,148199500
2021-02-26,118.75186920166016,164560400
2021-03-01,125.14681243896484,116307900
2021-03-02,122.53205108642578,102260900
2021-03-03,119.53531646728516,112966300
2021-03-04,117.64525604248047,178155000
2021-03-05,118.90856170654297,153766600
2021-03-08,113.95323181152344,154376600
2021-03-09,118.58538818359375,129525800
2021-03-10,117.49836730957031,111943300
2021-03-11,119.43739318847656,103026500
2021-03-12,118.5266342163086,88105100
2021-03-15,121.42539978027344,92403800
2021-03-16,122.97274780273438,115227900
2021-03-17,122.17949676513672,111932600
2021-03-18,118.03697204589844,121229700
2021-03-19,117.50816345214844,185549500
2021-03-22,120.83782196044922,111912300
2021-03-23,120.00540161132812,95467100
2021-03-24,117.6060791015625,88530500
2021-03-25,118.09573364257812,98844700
2021-03-26,118.70291137695312,94071200
2021-03-29,118.87920379638672,80819200
2021-03-30,117.41999816894531,85671900
2021-03-31,119.62348175048828,118323800
2021-04-01,120.4559097290039,75089100
2021-04-05,123.29591369628906,88651200
2021-04-06,123.59950256347656,80171300
2021-04-07,125.25454711914062,83466700
2021-04-08,127.66365051269531,88844600
2021-04-09,130.24905395507812,106686700
2021-04-12,128.52545166015625,91420000
2021-04-13,131.6494598388672,91266500
2021-04-14,129.29908752441406,87222800
2021-04-15,131.7180633544922,89347100
2021-04-16,131.3850555419922,84922400
2021-04-19,132.05101013183594,94264200
2021-04-20,130.35678100585938,94812300
2021-04-21,130.7387237548828,68847100
2021-04-22,129.2110137939453,84566500
2021-04-23,131.54176330566406,78657500
2021-04-26,131.9334716796875,66905100
2021-04-27,131.61032104492188,66015800
2021-04-28,130.8170623779297,107760100
2021-04-29,130.71910095214844,151101000
2021-04-30,128.7409210205078,109839500
2021-05-03,129.79855346679688,75135100
2021-05-04,125.20556640625,137564700
2021-05-05,125.45040893554688,84000900
2021-05-06,127.05648040771484,78128300
2021-05-07,127.7333755493164,78973300
2021-05-10,124.43727111816406,88071200
2021-05-11,123.51515197753906,126142800
2021-05-12,120.43486022949219,112172300
2021-05-13,122.59303283691406,105861300
2021-05-14,125.0258560180664,81918000
2021-05-17,123.86830139160156,74244600
2021-05-18,122.47531127929688,63342900
2021-05-19,122.31836700439453,92612000
2021-05-20,124.8885269165039,76857100
2021-05-21,123.04427337646484,79295400
2021-05-24,124.68252563476562,63092900
2021-05-25,124.486328125,72009500
2021-05-26,124.43727111816406,56575900
2021-05-27,122.89713287353516,94625600
2021-05-28,122.23986053466797,71311100
2021-06-01,121.91615295410156,67637100
2021-06-02,122.68131256103516,59278900
2021-06-03,121.19023895263672,76229200
2021-06-04,123.49552917480469,75169300
2021-06-07,123.50534057617188,71057600
2021-06-08,124.3293685913086,74403800
2021-06-09,124.7119369506836,56877900
2021-06-10,123.71134185791016,71186400
2021-06-11,124.92776489257812,53522400
2021-06-14,127.99822998046875,96906500
2021-06-15,127.1742172241211,62746300
2021-06-16,127.67449188232422,91815000
2021-06-17,129.28330993652344,96721700
2021-06-18,127.97858428955078,108953300
2021-06-21,129.7836151123047,79663300
2021-06-22,131.43162536621094,74783600
2021-06-23,131.156982421875,60214200
2021-06-24,130.87246704101562,68711000
2021-06-25,130.57818603515625,70783700
2021-06-28,132.21646118164062,62111300
2021-06-29,133.73699951171875,64556100
2021-06-30,134.35498046875,63261400
2021-07-01,134.65908813476562,52485800
2021-07-02,137.29791259765625,78852600
2021-07-06,139.31869506835938,108181800
2021-07-07,141.8202667236328,104911600
2021-07-08,140.5155487060547,105575500
2021-07-09,142.34996032714844,99890800
2021-07-12,141.75157165527344,76299700
2021-07-13,142.86985778808594,100827100
2021-07-14,146.31312561035156,127050800
2021-07-15,145.65582275390625,106820300
2021-07-16,143.60562133789062,93251400
2021-07-19,139.74057006835938,121434600
2021-07-20,143.37017822265625,96350000
2021-07-21,142.63441467285156,74993500
2021-07-22,144.0078125,77338200
2021-07-23,145.73431396484375,71447400
2021-07-26,146.15618896484375,72434100
2021-07-27,143.97840881347656,104818600
2021-07-28,142.222412109375,118931200
2021-07-29,142.86985778808594,56699500
2021-07-30,143.08567810058594,70440600
2021-08-02,142.75216674804688,62880000
2021-08-03,144.55714416503906,64786600
2021-08-04,144.15496826171875,56368300
2021-08-05,144.2628631591797,46397700
2021-08-06,143.57513427734375,54126800
2021-08-09,143.5260467529297,48908700
2021-08-10,143.04464721679688,69023100
2021-08-11,143.30006408691406,48493500
2021-08-12,146.27688598632812,72282600
2021-08-13,146.48321533203125,59375000
2021-08-16,148.46774291992188,103296000
2021-08-17,147.55409240722656,92229700
2021-08-18,143.79129028320312,86326000
2021-08-19,144.12533569335938,86960300
2021-08-20,145.58920288085938,60549600
2021-08-23,147.08250427246094,60131800
2021-08-24,146.99404907226562,48606400
2021-08-25,145.75619506835938,58991300
2021-08-26,144.9505615234375,48597200
2021-08-27,145.99197387695312,55802400
2021-08-30,150.43264770507812,90956700
2021-08-31,149.16531372070312,86453100
2021-09-01,149.8333282470703,80313700
2021-09-02,150.95333862304688,71115500
2021-09-03,151.5919647216797,57808700
2021-09-07,153.9400177001953,82278300
2021-09-08,152.3877410888672,74420200
2021-09-09,151.36599731445312,57305700
2021-09-10,146.3555145263672,140893200
2021-09-13,146.92530822753906,102404300
2021-09-14,145.5204315185547,109296300
2021-09-15,146.41444396972656,83281300
2021-09-16,146.17864990234375,68034100
2021-09-17,143.49655151367188,129868800
2021-09-20,140.43133544921875,123478900
2021-09-21,140.9127197265625,75834000
2021-09-22,143.2902374267578,76404300
2021-09-23,144.2530517578125,64838200
2021-09-24,144.34146118164062,53477900
2021-09-27,142.81866455078125,74150700
2021-09-28,139.4193878173828,108972300
2021-09-29,140.32325744628906,74602000
2021-09-30,139.01658630371094,89056700
2021-10-01,140.1464080810547,94639600
2021-10-04,136.69798278808594,98322000
2021-10-05,138.63340759277344,80861100
2021-10-06,139.50779724121094,83221100
2021-10-07,140.77520751953125,61732700
2021-10-08,140.39202880859375,58773200
2021-10-11,140.30360412597656,64452200
2021-10-12,139.02639770507812,73035900
2021-10-13,138.4369659423828,78762700
2021-10-14,141.23690795898438,69907100
2021-10-15,142.2979736328125,67940300
2021-10-18,143.97796630859375,85589200
2021-10-19,146.14915466308594,76378900
2021-10-20,146.64041137695312,58418800
2021-10-21,146.85655212402344,61421000
2021-10-22,146.08041381835938,58883400
2021-10-25,146.03128051757812,50720600
2021-10-26,146.6993865966797,60893400
2021-10-27,146.23760986328125,56094900
2021-10-28,149.89230346679688,100077900
2021-10-29,147.17091369628906,124953200
2021-11-01,146.345703125,74588300
2021-11-02,147.38705444335938,69122000
2021-11-03,148.83128356933594,54511500
2021-11-04,148.31057739257812,60394600
2021-11-05,148.8418731689453,65463900
2021-11-08,148.01541137695312,55020900
2021-11-09,148.3794403076172,56787900
2021-11-10,145.5360107421875,65187100
2021-11-11,145.48681640625,41000000
2021-11-12,147.57266235351562,63804000
2021-11-15,147.58250427246094,59222800
2021-11-16,148.5663604736328,59256200
2021-11-17,151.0162353515625,88807000
2021-11-18,155.3256378173828,137827700
2021-11-19,157.96246337890625,117305600
2021-11-22,158.4248809814453,117467900
2021-11-23,158.80857849121094,96041900
2021-11-24,159.33006286621094,69463600
2021-11-26,154.28274536132812,76959800
2021-11-29,157.65745544433594,88748200
2021-11-30,162.6359405517578,174048100
2021-12-01,162.11444091796875,152052500
2021-12-02,161.12069702148438,136739200
2021-12-03,159.231689453125,118023100
2021-12-06,162.6555938720703,107497000
2021-12-07,168.42112731933594,120405400
2021-12-08,172.25827026367188,116998900
2021-12-09,171.74664306640625,108923700
2021-12-10,176.55784606933594,115402700
2021-12-13,172.9076690673828,153237000
2021-12-14,171.52035522460938,139380400
2021-12-15,176.41026306152344,131063300
2021-12-16,169.4837188720703,150185800
2021-12-17,168.38177490234375,195432700
2021-12-20,167.01416015625,107499100
2021-12-21,170.20193481445312,91185900
2021-12-22,172.8092498779297,92135300
2021-12-23,173.4389190673828,68356600
2021-12-27,177.42367553710938,74919600
2021-12-28,176.40042114257812,79144300
2021-12-29,176.48898315429688,62348900
2021-12-30,175.3280029296875,59773000
2021-12-31,174.70816040039062,64062300
2022-01-03,179.07659912109375,104487900
2022-01-04,176.8038330078125,99310400
2022-01-05,172.10086059570312,94537600
2022-01-06,169.2279052734375,96904000
2022-01-07,169.39517211914062,86709100
2022-01-10,169.41485595703125,106765600
2022-01-11,172.25827026367188,76138300
2022-01-12,172.70101928710938,74805200
2022-01-13,169.41485595703125,84505800
2022-01-14,170.28067016601562,80440800
2022-01-18,167.06338500976562,90956700
2022-01-19,163.5509033203125,94815000
2022-01-20,161.85862731933594,91420500
2022-01-21,159.79248046875,122848900
2022-01-24,159.01519775390625,162294600
2022-01-25,157.2048797607422,115798400
2022-01-26,157.1163330078125,108275300
2022-01-27,156.6538848876953,121954600
2022-01-28,167.58480834960938,179935700
2022-01-31,171.96311950683594,115541600
2022-02-01,171.7958526611328,86213900
2022-02-02,173.00604248046875,84914300
2022-02-03,170.1134033203125,89418100
2022-02-04,169.82772827148438,82465400
2022-02-07,169.1085968017578,77251200
2022-02-08,172.23147583007812,74829200
2022-02-09,173.65989685058594,71285000
2022-02-10,169.56173706054688,90865900
2022-02-11,166.1334686279297,98670700
2022-02-14,166.36993408203125,86185500
2022-02-15,170.22177124023438,62527400
2022-02-16,169.98536682128906,61177400
2022-02-17,166.36993408203125,69589300
