ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,SMA_50,SMA_50_lower,SMA_50_upper,Volume,Volume_lower,Volume_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-07-03,150.3305627873413,244.96354689986956,264.1668222765897,147.24024408804684,153.31438033176187,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,104.03210141990776,104.03210141990776,104.03210141990776,89.05144866557738,89.05144866557738,89.05144866557738,10.441561993133359,10.441561993133359,10.441561993133359,4.539090761197029,4.539090761197029,4.539090761197029,0.0,0.0,0.0,254.36266420724905
2025-07-04,150.370294465455,244.84857932304513,265.07872874989823,147.2429393895236,153.380554072532,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,104.46510885867237,104.46510885867237,104.46510885867237,89.05144866557738,89.05144866557738,89.05144866557738,10.628780012041407,10.628780012041407,10.628780012041407,4.784880181053576,4.784880181053576,4.784880181053576,0.0,0.0,0.0,254.83540332412736
2025-07-05,150.4100261435687,208.37500123363623,228.07884462363708,147.2296043785035,153.44581204348756,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,67.62763243197226,67.62763243197226,67.62763243197226,89.05144866557738,89.05144866557738,89.05144866557738,-26.451185812425862,-26.451185812425862,-26.451185812425862,5.027369578820733,5.027369578820733,5.027369578820733,0.0,0.0,0.0,218.03765857554095
2025-07-06,150.44975782168245,209.10570977632767,228.52091270885984,147.21140745106476,153.5110700144432,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,67.86446524063307,67.86446524063307,67.86446524063307,89.05144866557738,89.05144866557738,89.05144866557738,-26.451190188322023,-26.451190188322023,-26.451190188322023,5.264206763377701,5.264206763377701,5.264206763377701,0.0,0.0,0.0,218.31422306231553
2025-07-07,150.48948949979612,246.41048320633948,265.18110816507567,147.21088453857564,153.5914077273281,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,105.22696188607723,105.22696188607723,105.22696188607723,89.05144866557738,89.05144866557738,89.05144866557738,10.682606997365992,10.682606997365992,10.682606997365992,5.492906223133858,5.492906223133858,5.492906223133858,0.0,0.0,0.0,255.71645138587337
2025-07-08,150.52922117790985,246.6708594930754,265.21729104266285,147.21092528452775,153.63535112691173,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,105.39651030639511,105.39651030639511,105.39651030639511,89.05144866557738,89.05144866557738,89.05144866557738,10.634155954032524,10.634155954032524,10.634155954032524,5.710905686785212,5.710905686785212,5.710905686785212,0.0,0.0,0.0,255.92573148430495
2025-07-09,150.56895285602354,247.4178538075469,265.7682024479563,147.21330956922736,153.6965293715438,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,105.48234714383798,105.48234714383798,105.48234714383798,89.05144866557738,89.05144866557738,89.05144866557738,10.515271044179137,10.515271044179137,10.515271044179137,5.91562743408147,5.91562743408147,5.91562743408147,0.0,0.0,0.0,256.0512999998615
2025-07-10,150.60868453413724,246.7246872537539,265.3521807645934,147.21569385392695,153.7597999624987,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,105.59755345294474,105.59755345294474,105.59755345294474,89.05144866557738,89.05144866557738,89.05144866557738,10.44156199312909,10.44156199312909,10.44156199312909,6.104542794238261,6.104542794238261,6.104542794238261,0.0,0.0,0.0,256.206237987082
2025-07-11,150.648416212251,247.10551981034484,265.6958025950886,147.21807813862657,153.81542361413182,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,105.95546682621755,105.95546682621755,105.95546682621755,89.05144866557738,89.05144866557738,89.05144866557738,10.628780012015504,10.628780012015504,10.628780012015504,6.275238148624649,6.275238148624649,6.275238148624649,0.0,0.0,0.0,256.60388303846855
2025-07-12,150.68814789036466,209.28138192694553,229.01903894307011,147.1993201617085,153.87990592183866,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,69.02574353031139,69.02574353031139,69.02574353031139,89.05144866557738,89.05144866557738,89.05144866557738,-26.45118581236555,-26.45118581236555,-26.45118581236555,6.425480677099548,6.425480677099548,6.425480677099548,0.0,0.0,0.0,219.71389142067605
