ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Volume_Avg,Volume_Avg_lower,Volume_Avg_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_smooth
2025-06-02,246.81620157060422,235.4519576011598,258.3228222854275,240.53177575484233,253.24047025021952,4.445783528903086,4.445783528903086,4.445783528903086,-0.335628945099354,-0.335628945099354,-0.335628945099354,4.445783528903086,4.445783528903086,4.445783528903086,1.3054806151033305,1.3054806151033305,1.3054806151033305,-6.08689308910577,-6.08689308910577,-6.08689308910577,0.0,0.0,0.0,246.48057262550486,243.64887397139722
2025-06-03,246.94441518931302,234.6130702536324,259.52488714665344,240.5915058687876,253.49762206648091,4.445783528903086,4.445783528903086,4.445783528903086,-0.1942387010271314,-0.1942387010271314,-0.1942387010271314,4.445783528903086,4.445783528903086,4.445783528903086,1.2946733318877606,1.2946733318877606,1.2946733318877606,-5.934695561817979,-5.934695561817979,-5.934695561817979,0.0,0.0,0.0,246.7501764882859,244.3037877021414
2025-06-04,247.07262880802185,235.5264312314999,258.91837339956083,240.56871935694866,253.7433823074505,4.445783528903086,4.445783528903086,4.445783528903086,-0.09387017310987893,-0.09387017310987893,-0.09387017310987893,4.445783528903086,4.445783528903086,4.445783528903086,1.2325718179320928,1.2325718179320928,1.2325718179320928,-5.772225519945058,-5.772225519945058,-5.772225519945058,0.0,0.0,0.0,246.97875863491197,244.96650611486075
2025-06-05,247.20084242673076,236.23986307370404,259.7708188993403,240.50570495125893,253.91700051286932,4.445783528903086,4.445783528903086,4.445783528903086,-0.02499925698280836,-0.02499925698280836,-0.02499925698280836,4.445783528903086,4.445783528903086,4.445783528903086,1.1298503724785218,1.1298503724785218,1.1298503724785218,-5.600633158364416,-5.600633158364416,-5.600633158364416,0.0,0.0,0.0,247.17584316974796,245.1951066698764
2025-06-06,247.32905604543956,235.39305909201045,260.09402725152023,240.5549911290817,254.17373497358665,4.445783528903086,4.445783528903086,4.445783528903086,0.19530554910713097,0.19530554910713097,0.19530554910713097,4.445783528903086,4.445783528903086,4.445783528903086,1.1705594158145034,1.1705594158145034,1.1705594158145034,-5.421037395610458,-5.421037395610458,-5.421037395610458,0.0,0.0,0.0,247.5243615945467,245.4414286652687
2025-06-07,247.45726966414836,232.01630894730357,255.48265927692083,240.60753128959576,254.4290784989826,4.445783528903086,4.445783528903086,4.445783528903086,-3.8552712426438758,-3.8552712426438758,-3.8552712426438758,4.445783528903086,4.445783528903086,4.445783528903086,-3.0665674323324774,-3.0665674323324774,-3.0665674323324774,-5.234487339214485,-5.234487339214485,-5.234487339214485,0.0,0.0,0.0,243.60199842150448,245.2819274550367
2025-06-08,247.58548328285724,231.70726696449373,256.46354551783577,240.67934719267473,254.6797823406294,4.445783528903086,4.445783528903086,4.445783528903086,-3.6627116660886765,-3.6627116660886765,-3.6627116660886765,4.445783528903086,4.445783528903086,4.445783528903086,-3.066568120872002,-3.066568120872002,-3.066568120872002,-5.0419270741197595,-5.0419270741197595,-5.0419270741197595,0.0,0.0,0.0,243.92277161676856,245.14342088646407
2025-06-09,247.71369690156604,237.58496298643362,261.7160406541566,240.77938229693962,254.93683246289723,4.445783528903086,4.445783528903086,4.445783528903086,0.9070992125506653,0.9070992125506653,0.9070992125506653,4.445783528903086,4.445783528903086,4.445783528903086,1.3054806151032525,1.3054806151032525,1.3054806151032525,-4.844164931455673,-4.844164931455673,-4.844164931455673,0.0,0.0,0.0,248.6207961141167,245.44778374117922
2025-06-10,247.8419105202749,237.16470171408994,261.96592893419785,240.87954767477498,255.19694614872046,4.445783528903086,4.445783528903086,4.445783528903086,1.098608598809634,1.098608598809634,1.098608598809634,4.445783528903086,4.445783528903086,4.445783528903086,1.294673331888219,1.294673331888219,1.294673331888219,-4.64184826198167,-4.64184826198167,-4.64184826198167,0.0,0.0,0.0,248.94051911908454,246.18353239109237
2025-06-11,247.97012413898378,236.5528186739268,261.23902091207475,240.9813655698412,255.45740727717353,4.445783528903086,4.445783528903086,4.445783528903086,1.2429107730679958,1.2429107730679958,1.2429107730679958,4.445783528903086,4.445783528903086,4.445783528903086,1.2325718179319896,1.2325718179319896,1.2325718179319896,-4.43544457376708,-4.43544457376708,-4.43544457376708,0.0,0.0,0.0,249.21303491205177,246.9208832696523
2025-06-12,248.09833775769258,237.38899888561124,260.85509094482865,241.08318346490728,255.71290920674605,4.445783528903086,4.445783528903086,4.445783528903086,1.3504041996879,1.3504041996879,1.3504041996879,4.445783528903086,4.445783528903086,4.445783528903086,1.1298503724779212,1.1298503724779212,1.1298503724779212,-4.225229701693107,-4.225229701693107,-4.225229701693107,0.0,0.0,0.0,249.44874195738046,247.21770020283992
2025-06-13,248.22655137640137,237.25384509776214,262.6134175231864,241.14404162301722,255.9796511304291,4.445783528903086,4.445783528903086,4.445783528903086,1.60505948210647,1.60505948210647,1.60505948210647,4.445783528903086,4.445783528903086,4.445783528903086,1.1705594158115165,1.1705594158115165,1.1705594158115165,-4.011283462608132,-4.011283462608132,-4.011283462608132,0.0,0.0,0.0,249.83161085850784,247.5258436398621
2025-06-14,248.3547649951102,233.6170088579378,258.3980876202488,241.14654486205174,256.2202294663377,4.445783528903086,4.445783528903086,4.445783528903086,-2.414276923843786,-2.414276923843786,-2.414276923843786,4.445783528903086,4.445783528903086,4.445783528903086,-3.066567432329784,-3.066567432329784,-3.066567432329784,-3.7934930204170874,-3.7934930204170874,-3.7934930204170874,0.0,0.0,0.0,245.94048807126643,247.42201658349754
2025-06-15,248.4829786138191,234.3508707883724,258.6161985265767,241.1490481010864,256.48294009738265,4.445783528903086,4.445783528903086,4.445783528903086,-2.1923485386625745,-2.1923485386625745,-2.1923485386625745,4.445783528903086,4.445783528903086,4.445783528903086,-3.066568120882974,-3.066568120882974,-3.066568120882974,-3.571563946682686,-3.571563946682686,-3.571563946682686,0.0,0.0,0.0,246.29063007515654,247.3334952740384
2025-06-16,248.6111922325279,238.32827826260024,264.62744872719236,241.1600120035586,256.7410795807603,4.445783528903086,4.445783528903086,4.445783528903086,2.4062254227464344,2.4062254227464344,2.4062254227464344,4.445783528903086,4.445783528903086,4.445783528903086,1.3054806150965372,1.3054806150965372,1.3054806150965372,-3.3450387212531876,-3.3450387212531876,-3.3450387212531876,0.0,0.0,0.0,251.01741765527436,247.6828008801112
2025-06-17,248.73940585123674,239.21670931488623,264.4242814640577,241.2196269459616,256.9950525874028,4.445783528903086,4.445783528903086,4.445783528903086,2.627134679643443,2.627134679643443,2.627134679643443,4.445783528903086,4.445783528903086,4.445783528903086,1.2946733318886767,1.2946733318886767,1.2946733318886767,-3.1133221811483187,-3.1133221811483187,-3.1133221811483187,0.0,0.0,0.0,251.36654053088017,248.45925509104876
2025-06-18,248.8676194699456,239.46800943689084,264.55296186627714,241.2039579157967,257.2484561151561,4.445783528903086,4.445783528903086,4.445783528903086,2.802642145592569,2.802642145592569,2.802642145592569,4.445783528903086,4.445783528903086,4.445783528903086,1.2325718179319562,1.2325718179319562,1.2325718179319562,-2.875713201242472,-2.875713201242472,-2.875713201242472,0.0,0.0,0.0,251.67026161553815,249.23400409092568
2025-06-19,248.99583308865445,239.1870546503376,264.85472878041594,241.21403520070513,257.5102289465054,4.445783528903086,4.445783528903086,4.445783528903086,2.9441922174160977,2.9441922174160977,2.9441922174160977,4.445783528903086,4.445783528903086,4.445783528903086,1.1298503724791495,1.1298503724791495,1.1298503724791495,-2.631441683966137,-2.631441683966137,-2.631441683966137,0.0,0.0,0.0,251.94002530607054,249.56592701012104
2025-06-20,249.12404670736328,240.42046237629938,265.19887847723214,241.3157862499747,257.79475811904416,4.445783528903086,4.445783528903086,4.445783528903086,3.2366331912556965,3.2366331912556965,3.2366331912556965,4.445783528903086,4.445783528903086,4.445783528903086,1.170559415824161,1.170559415824161,1.170559415824161,-2.37970975347155,-2.37970975347155,-2.37970975347155,0.0,0.0,0.0,252.36067989861897,249.90794308807455
2025-06-21,249.25226032607213,235.28077903283003,260.26040943136024,241.33576860584236,258.069719808862,4.445783528903086,4.445783528903086,4.445783528903086,-0.7405198014847025,-0.7405198014847025,-0.7405198014847025,4.445783528903086,4.445783528903086,4.445783528903086,-3.066567432335053,-3.066567432335053,-3.066567432335053,-2.1197358980527343,-2.1197358980527343,-2.1197358980527343,0.0,0.0,0.0,248.51174052458742,249.8378136493281
2025-06-22,249.38047394478093,236.63998054023259,262.03724997626904,241.34541032935456,258.33069937713265,4.445783528903086,4.445783528903086,4.445783528903086,-0.4715852799064031,-0.4715852799064031,-0.4715852799064031,4.445783528903086,4.445783528903086,4.445783528903086,-3.0665681208816387,-3.0665681208816387,-3.0665681208816387,-1.8508006879278502,-1.8508006879278502,-1.8508006879278502,0.0,0.0,0.0,248.90888866487452,249.78382832007748
2025-06-23,249.50868756348976,240.92291119018796,268.2072247956894,241.3197339707873,258.55338746775277,4.445783528903086,4.445783528903086,4.445783528903086,4.178971526521912,4.178971526521912,4.178971526521912,4.445783528903086,4.445783528903086,4.445783528903086,1.3054806150964586,1.3054806150964586,1.3054806150964586,-1.5722926174776317,-1.5722926174776317,-1.5722926174776317,0.0,0.0,0.0,253.68765909001166,250.16943314322788
2025-06-24,249.63690118219856,241.8574278160302,267.51535878720784,241.30944267783573,258.79495526649924,4.445783528903086,4.445783528903086,4.445783528903086,4.456704276139849,4.456704276139849,4.456704276139849,4.445783528903086,4.445783528903086,4.445783528903086,1.2946733318874333,1.2946733318874333,1.2946733318874333,-1.2837525846506697,-1.2837525846506697,-1.2837525846506697,0.0,0.0,0.0,254.0936054583384,250.98474488193506
2025-06-25,249.76511480090747,242.10388302076845,268.6222768757979,241.33034166845752,259.0516897272166,4.445783528903086,4.445783528903086,4.445783528903086,4.693439819894066,4.693439819894066,4.693439819894066,4.445783528903086,4.445783528903086,4.445783528903086,1.2325718179317813,1.2325718179317813,1.2325718179317813,-0.9849155269408012,-0.9849155269408012,-0.9849155269408012,0.0,0.0,0.0,254.45855462080152,251.8015373364996
2025-06-26,249.8933284196163,241.95826426814193,267.8725303257525,241.33138074404744,259.304208436644,4.445783528903086,4.445783528903086,4.445783528903086,4.899886117705198,4.899886117705198,4.899886117705198,4.445783528903086,4.445783528903086,4.445783528903086,1.1298503724759057,1.1298503724759057,1.1298503724759057,-0.675747783673793,-0.675747783673793,-0.675747783673793,0.0,0.0,0.0,254.7932145373215,252.17911702470428
2025-06-27,250.0215420383251,242.1408484417907,268.1944538121838,241.3728725879574,259.5792846082794,4.445783528903086,4.445783528903086,4.445783528903086,5.259864097320817,5.259864097320817,5.259864097320817,4.445783528903086,4.445783528903086,4.445783528903086,1.17055941581795,1.17055941581795,1.17055941581795,-0.3564788474002197,-0.3564788474002197,-0.3564788474002197,0.0,0.0,0.0,255.2814061356459,252.57060358518083
2025-06-28,250.14975565703395,238.52252127160284,265.7873248019252,241.4338564651848,259.9023960863475,4.445783528903086,4.445783528903086,4.445783528903086,1.351589795526266,1.351589795526266,1.351589795526266,4.445783528903086,4.445783528903086,4.445783528903086,-3.0665674323403223,-3.0665674323403223,-3.0665674323403223,-0.027626301036497776,-0.027626301036497776,-0.027626301036497776,0.0,0.0,0.0,251.5013454525602,252.55371196888305
